"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
229329,1,4,0,0,"enterprise_admin","afternoon",0,0
229328,1,3,0,0,"enterprise_admin","afternoon",0,1
229278,1,0,0,0,"admin","morning",0,2
229277,1,0,0,0,"enterprise_admin","morning",0,0
229275,9,0,0,0,"admin","afternoon",0,3
229265,1,0,0,0,"admin","morning",0,3
229263,21,0,0,0,"25975f8b830814a0","morning",0,1
229262,21,0,0,0,"34feb5585e081d04","morning",0,0
229261,31,0,0,0,"enterprise_admin","morning",0,1
229260,2,0,0,0,"admin","morning",0,5
229254,5,3,0,0,"admin","morning",0,2
229250,1,0,0,0,"admin","afternoon",0,10
229249,1,0,0,0,"admin","afternoon",0,1
229248,4,0,0,0,"admin","afternoon",0,9
229245,14,0,0,0,"admin","morning",1,9
229244,9,0,0,0,"admin","morning",1,8
229243,9,0,0,0,"admin","morning",1,0
229242,11,0,0,0,"admin","morning",1,0
229241,3,0,0,0,"admin","morning",1,6
229240,7,0,0,0,"admin","morning",1,0
229239,2,0,0,0,"admin","morning",0,4
229238,17,0,0,0,"admin","morning",3,3
229237,11,0,0,0,"admin","morning",1,2
229235,1,1,0,0,"admin","afternoon",0,0
229229,1,0,0,0,"enterprise_admin","morning",0,0
229220,2,0,0,0,"enterprise_admin","afternoon",0,1
229213,3,0,0,0,"admin","afternoon",0,1
229211,1,0,0,0,"admin","afternoon",0,0
229203,2,0,0,0,"enterprise_admin","morning",0,1
229202,2,0,0,0,"enterprise_admin","morning",0,0
229197,9,0,0,0,"enterprise_admin","afternoon",0,0
229194,5,0,0,0,"enterprise_admin","afternoon",0,3
229191,110,0,0,0,"enterprise_admin","afternoon",0,1
229178,1,0,0,0,"admin","afternoon",0,0
229177,1,0,0,0,"admin","afternoon",0,1
229176,1,0,0,0,"admin","afternoon",0,0
229175,7,0,0,0,"enterprise_admin","afternoon",0,0
229174,4,0,0,0,"admin","morning",0,0
229173,4,0,0,0,"admin","morning",0,0
229172,1,0,0,0,"admin","afternoon",0,0
229162,7,0,0,0,"enterprise_admin","morning",0,0
229147,202,0,0,0,"enterprise_admin","morning",0,0
229119,4,2,0,1,"enterprise_admin","morning",0,0
229115,2,0,0,1,"enterprise_admin","morning",0,0
229113,6,3,0,0,"enterprise_admin","morning",0,0
229111,6,4,0,0,"enterprise_admin","morning",0,0
229107,7,0,0,0,"admin","morning",0,2
229106,4,1,0,0,"enterprise_admin","morning",0,0
229099,3,0,8,0,"enterprise_admin","morning",0,3
229079,3,0,4,0,"enterprise_admin","afternoon",0,5
229074,3,0,3,0,"enterprise_admin","afternoon",0,6
229070,3,0,2,0,"enterprise_admin","afternoon",0,7
229064,5,0,1,0,"enterprise_admin","morning",0,8
229062,4,0,1,0,"enterprise_admin","morning",0,8
229060,4,0,1,0,"enterprise_admin","morning",0,8
229059,3,0,1,0,"enterprise_admin","morning",0,4
229058,4,0,1,0,"enterprise_admin","morning",0,2
229054,1,1,0,0,"enterprise_admin","morning",0,1
229052,9,0,0,0,"enterprise_admin","morning",0,5
229042,1,0,0,0,"admin","morning",0,0
229036,3,0,0,0,"52b06203aa0dc338","afternoon",0,0
229024,1,0,0,0,"admin","morning",0,0
228995,10,0,0,0,"admin","morning",0,0
228991,2,0,0,0,"enterprise_admin","morning",0,6
228986,2,0,0,0,"enterprise_admin","morning",0,8
228985,2,0,0,0,"enterprise_admin","morning",0,9
228984,2,0,0,0,"enterprise_admin","morning",0,1
228981,2,0,0,0,"enterprise_admin","morning",0,2
228980,2,0,0,0,"enterprise_admin","morning",0,3
228978,2,0,0,0,"enterprise_admin","morning",0,4
228977,2,0,0,0,"enterprise_admin","morning",0,7
228976,2,0,0,0,"enterprise_admin","morning",0,7
228975,2,0,0,0,"enterprise_admin","morning",0,7
228974,2,0,0,0,"enterprise_admin","morning",0,2
228973,2,0,0,0,"enterprise_admin","morning",0,1
228971,1,0,0,0,"admin","afternoon",0,0
228968,1,0,0,0,"admin","afternoon",0,0
228967,1,0,0,0,"admin","afternoon",0,0
228929,10,0,0,0,"admin","afternoon",0,0
228922,1,0,0,0,"admin","morning",0,0
228921,1,0,0,0,"admin","morning",0,0
228920,1,0,0,0,"admin","morning",0,1
228918,1,0,0,0,"admin","morning",0,0
228895,1,0,0,0,"enterprise_admin","morning",0,1
228858,1,1,0,0,"25975f8b830814a0","afternoon",0,0
228851,102,0,0,0,"enterprise_admin","afternoon",0,1
228838,1,0,0,0,"admin","morning",0,0
228837,1,0,0,0,"admin","morning",0,0
228818,1,0,0,0,"enterprise_admin","morning",0,0
228817,1,0,0,0,"enterprise_admin","morning",0,0
228809,4,0,0,0,"enterprise_admin","afternoon",0,0
228807,1,0,1,0,"admin","afternoon",0,0
228772,1,0,0,0,"enterprise_admin","morning",0,0
228762,1442,0,0,0,"admin","afternoon",0,0
228761,104,0,0,0,"admin","afternoon",0,1
228760,142,0,0,0,"admin","afternoon",0,0
228716,1,0,0,0,"enterprise_admin","morning",0,0
228691,1,0,0,0,"enterprise_admin","morning",0,2
228675,1,0,0,0,"25975f8b830814a0","morning",0,2
228570,1,0,0,0,"enterprise_admin","morning",0,3
228569,1,0,0,0,"enterprise_admin","morning",0,4
228567,1,0,0,0,"enterprise_admin","morning",0,2
228565,1,0,0,0,"enterprise_admin","morning",0,3
228563,1,0,0,0,"enterprise_admin","morning",0,2
228560,1,0,0,0,"25975f8b830814a0","morning",0,0
228558,1,0,0,0,"enterprise_admin","morning",0,2
228554,1,1,2,0,"enterprise_admin","morning",0,1
228545,1,0,0,0,"enterprise_admin","morning",0,0
228527,1,0,1,0,"enterprise_admin","morning",0,0
228525,1,0,0,0,"09c0050c1b0dcf50","afternoon",0,0
228524,11,0,0,0,"admin","morning",0,0
228463,5,0,0,0,"enterprise_admin","morning",0,0
228462,17,0,0,0,"enterprise_admin","morning",0,0
228461,1,0,0,0,"2b230ca2230dc39c","morning",0,0
228458,3,0,0,0,"enterprise_admin","afternoon",0,0
228456,160,0,0,0,"enterprise_admin","morning",0,0
228453,183,0,0,0,"enterprise_admin","morning",0,0
228447,1,0,0,0,"enterprise_admin","afternoon",0,0
228444,1,0,0,0,"enterprise_admin","morning",0,0
228441,1,0,0,0,"enterprise_admin","morning",0,0
228440,1,0,0,0,"enterprise_admin","morning",0,0
228428,1,0,0,0,"enterprise_admin","afternoon",0,0
228427,1,0,0,0,"enterprise_admin","afternoon",0,0
228426,1,0,0,0,"enterprise_admin","afternoon",0,10
228424,1,0,0,0,"enterprise_admin","afternoon",0,1
228423,1,0,0,0,"enterprise_admin","afternoon",0,1
228422,1,0,0,0,"enterprise_admin","afternoon",0,21
228421,1,0,0,0,"enterprise_admin","afternoon",0,4
228420,1,0,0,0,"enterprise_admin","afternoon",0,5
228419,7,0,0,0,"enterprise_admin","afternoon",0,8
228418,1,0,0,0,"enterprise_admin","afternoon",0,9
228416,1,0,0,0,"enterprise_admin","afternoon",0,1
228415,1,0,0,0,"enterprise_admin","afternoon",0,3
228414,1,0,0,0,"enterprise_admin","afternoon",0,4
228413,1,0,0,0,"enterprise_admin","afternoon",0,4
228404,2,1,1,0,"enterprise_admin","afternoon",0,4
228401,1,0,0,1,"enterprise_admin","morning",0,5
228394,1,0,0,0,"enterprise_admin","morning",0,5
228393,1,0,0,0,"enterprise_admin","morning",0,5
228392,1,0,0,0,"enterprise_admin","morning",0,8
228346,1,0,0,1,"enterprise_admin","morning",0,8
228344,1,0,0,1,"enterprise_admin","morning",0,1
228342,1,0,0,1,"enterprise_admin","morning",0,0
228340,1,0,0,0,"admin","afternoon",0,0
228339,1,0,0,0,"admin","afternoon",0,4
228338,1,0,0,0,"admin","afternoon",0,4
228337,1,0,0,0,"admin","afternoon",0,4
228336,1,0,0,0,"admin","afternoon",0,4
228330,1,0,0,0,"admin","afternoon",0,1
228301,2,0,12,0,"enterprise_admin","morning",0,1
228288,3,0,7,0,"enterprise_admin","morning",0,0
228280,2,0,14,0,"enterprise_admin","morning",0,0
228265,3,0,6,0,"enterprise_admin","morning",0,4
228258,2,0,12,0,"enterprise_admin","morning",0,6
